rainfall(mm),avgT,LowT,HighT,seoulDiag,seoulDadd,under_treatment,cured,dead,sus_patient,sus_patient_checking,sus_pat_negative
0,12.8,8.5,18,5607,23,491,5050,66,0,0,0
0,11.7,6.5,18.5,5632,25,511,5055,66,0,0,0
0,11.8,8.6,15.4,5650,18,492,5091,67,0,0,0
0,13.1,8.7,18.6,5668,18,481,5119,68,0,0,0
0,13.6,7.2,20.2,5688,20,487,5132,69,0,0,0
0,15.1,9.8,21.3,5702,14,472,5161,69,0,0,0
0,15.2,9.9,21.7,5713,11,427,5217,69,0,0,0
0,14.1,11.8,17.3,5730,17,391,5268,71,0,0,0
0,13.5,8.4,18.2,5748,18,391,5283,74,0,0,0
0,8.6,5.4,13.3,5768,20,390,5304,74,0,0,0
0,8.7,3.2,14,5790,22,366,5350,74,0,0,0
0,11.8,5.4,18.2,5807,17,383,5350,74,0,0,0
0,12.9,8,19,5827,20,385,5368,74,0,0,0
0,14,9,19.4,5851,24,381,5394,76,0,0,0
0,13.8,8.6,18.2,5876,25,365,5434,77,0,0,0
0,10.8,5.5,16.1,5912,36,372,5462,78,0,0,0
0,11.9,5.8,19.6,5960,48,407,5475,78,0,0,0
0,13.6,8.5,18.2,6011,52,438,5495,78,0,0,0
13.6,13.7,11.6,15,6056,45,482,5496,78,0,0,0
1.7,10.8,7.9,15.6,6081,25,503,5500,78,0,0,0
0.5,5.1,2.7,8.6,6103,22,480,5545,78,0,0,0
0,4.9,0.2,10.8,6145,42,495,5572,78,0,0,0
0,9.6,3.4,15.9,6195,50,511,5606,78,0,0,0
0,13.5,9.9,17.2,6235,40,530,5627,78,0,0,0
0.1,14.6,12.2,18.1,6272,37,555,5639,78,0,0,0
0,8.5,3.1,12.4,6326,54,598,5650,78,0,0,0
0,5.5,0.7,8.9,6372,46,621,5673,78,0,0,0
0,7.7,3.5,12.9,6407,35,625,5703,79,0,0,0
0,9.3,3.5,16.5,6452,45,638,5735,79,0,0,0
0,10.4,4.6,17.7,6505,53,650,5776,79,0,0,0
0,12.2,8.5,17.6,6579,74,674,5826,79,0,0,0
0,12.5,6.8,19.3,6648,69,715,5853,80,0,0,0
0,11.1,8.2,14.9,6733,85,778,5874,81,0,0,0
0,12.4,7.5,18.3,6814,81,848,5885,81,0,0,0
0.1,15.9,11.7,20,6903,90,899,5923,81,0,0,0
12.2,16.6,14.8,18.7,6995,92,945,5968,82,0,0,0
86.9,13.6,6.9,19.1,7104,109,1009,6012,83,0,0,0
0,2.8,0.3,7,7236,132,1043,6109,84,0,0,0
0.2,6.5,-0.3,12.8,7392,156,1171,6136,85,0,0,0
4.8,5.6,1.5,9.1,7513,121,1257,6171,85,0,0,0
2.9,-1.1,-6,2,12187,399,4588,7490,109,0,0,0
0,-7.7,-9.7,-5,12406,219,4721,7573,112,0,0,0
0,-8.3,-11.1,-4.6,12657,251,4878,7664,115,0,0,0
0,-8.3,-11.2,-3.9,13035,378,5225,7690,120,0,0,0
0,-4.9,-11.1,0.8,13458,423,5412,7921,125,0,0,0
0.2,-2.1,-6.4,1.8,13856,398,5734,7996,126,0,0,0
0,-5.1,-9.6,-1.2,14240,384,6081,8031,128,0,0,0
0,-3.7,-8.2,1.1,14711,473,6361,8220,130,0,0,0
0,2.2,-2.1,8,17068,466,7433,9480,155,0,0,0
0,5.8,1.4,10,17430,362,7684,9589,157,0,0,0
1.3,6.7,4.2,11.4,17731,301,7961,9611,159,0,0,0
0.2,0.1,-6.2,4.3,18253,523,8076,10010,167,0,0,0
0,-10.9,-12.9,-6.2,18638,387,8341,10125,172,0,0,0
0,-3.5,-8.4,0.3,20138,329,8224,11721,193,0,0,0
0,-5.5,-9.9,-2.1,20338,199,8039,12095,204,0,0,0
2.3,-7.4,-12,-1.9,20602,264,7966,12429,207,0,0,0
0,-14.5,-16.5,-8.4,20899,298,8143,12543,213,0,0,0
0,-14.9,-18.6,-10.7,21088,191,8060,12805,223,0,0,0
0,-12.2,-16.6,-7.5,21276,188,7794,13259,223,0,0,0
